chrom	start	end	strand	type	score	motif	NH1	NH2	F73	F83	F89	F99	F137	F147	F153	F163	F329	F339	F345	F355	F393	F403	F409	F419	event	event_type	introns	location	distance_from_authentic	transcript
chrX	100259457	100554110	+	sj	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	unannotated intergenic junction	unannotated intron	NA	intergenic	NA	unknown
chrX	1002629	1675942	-	sj	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	unannotated intergenic junction	unannotated intron	NA	intergenic	NA	unknown
chrX	10027889	10063444	+	sj	3	1	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	cryptic intron 2 donor @ +12031	cryptic donor	2	intron 2	12031	NM_015691.5
chrX	100332309	101007433	+	sj	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	unannotated intergenic/intronic junction (opposite strand)	unannotated intron (opposite strand)	NA	intergenic/intronic	NA	NM_001184880.2
chrX	1003612	1145722	+	sj	6	1	0	6	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	unannotated intergenic junction	unannotated intron	NA	intergenic	NA	unknown
chrX	1003612	1614632	+	sj	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	unannotated intergenic junction	unannotated intron	NA	intergenic	NA	unknown
chrX	100368738	100548374	-	sj	2	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	unannotated intergenic/intronic junction	unannotated intron	NA	intergenic/intronic	NA	NM_001184880.2
chrX	100395049	100626843	+	sj	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	unannotated intergenic/intronic junction (opposite strand)	unannotated intron (opposite strand)	NA	intergenic/intronic	NA	NM_001184880.2
chrX	100395049	101152223	+	sj	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	unannotated intergenic/intronic junction (opposite strand)	unannotated intron (opposite strand)	NA	intergenic/intronic	NA	NM_001386188.2
chrX	100395050	100676646	+	sj	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	unannotated intergenic junction	unannotated intron	NA	intergenic	NA	NA
chrX	1004083	1544433	+	sj	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	unannotated intergenic junction	unannotated intron	NA	intergenic	NA	unknown
chrX	1004638	1544433	+	sj	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	unannotated intergenic junction	unannotated intron	NA	intergenic	NA	unknown
chrX	100502352	100770722	+	sj	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	unannotated intergenic junction	unannotated intron	NA	intergenic	NA	unknown
chrX	100502352	100869087	+	sj	3	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	unannotated intergenic/intronic junction (opposite strand)	unannotated intron (opposite strand)	NA	intergenic/intronic	NA	NM_007052.5
chrX	100513038	101395345	-	sj	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	unannotated intergenic/exonic junction (opposite strand)	unannotated intron (opposite strand)	NA	intergenic/exonic	NA	NM_021029.6
chrX	100555360	101028426	-	sj	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	unannotated intergenic/intronic junction (opposite strand)	unannotated intron (opposite strand)	NA	intergenic/intronic	NA	NM_024917.6
chrX	100557313	101546138	+	sj	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	unannotated intergenic junction	unannotated intron	NA	intergenic	NA	unknown
chrX	100557488	101546313	-	sj	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	unannotated intergenic junction	unannotated intron	NA	intergenic	NA	unknown
chrX	100629987	100630758	-	sj	1	22	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	canonical exon 7-8 splicing	canonical	7	NA	NA	NM_003270.4
chrX	100630867	100632484	-	sj	2	22	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	canonical exon 6-7 splicing	canonical	6	NA	NA	NM_003270.4
chrX	100632569	100633404	-	sj	2	22	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	canonical exon 5-6 splicing	canonical	5	NA	NA	NM_003270.4
chrX	100633540	100633930	-	sj	5	22	5	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	canonical exon 4-5 splicing	canonical	4	NA	NA	NM_003270.4
chrX	100634030	100635177	-	sj	6	22	6	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	canonical exon 3-4 splicing	canonical	3	NA	NA	NM_003270.4
chrX	100635253	100635557	-	sj	1	22	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	canonical exon 2-3 splicing	canonical	2	NA	NA	NM_003270.4
chrX	10063555	10067286	+	sj	81	21	81	0	0	43	0	0	0	0	0	38	0	0	0	0	0	0	0	0	canonical exon 3-4 splicing	canonical	3	NA	NA	NM_015691.5
chrX	100635747	100636607	-	sj	4	22	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	canonical exon 1-2 splicing	canonical	1	NA	NA	NM_003270.4
chrX	10067491	10078798	+	sj	75	21	75	0	0	35	0	0	0	0	0	40	0	0	0	0	0	0	0	0	canonical exon 4-5 splicing	canonical	4	NA	NA	NM_015691.5
chrX	100686782	100687066	-	sj	2	22	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	canonical exon 14-15 splicing	canonical	14	NA	NA	NM_001370165.1
chrX	100687246	100688350	-	sj	5	22	5	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	canonical exon 13-14 splicing	canonical	13	NA	NA	NM_001370165.1
chrX	100688444	100689855	-	sj	1	22	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	canonical exon 12-13 splicing	canonical	12	NA	NA	NM_001370165.1
chrX	100689960	100690074	-	sj	5	22	5	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	canonical exon 11-12 splicing	canonical	11	NA	NA	NM_001370165.1
chrX	100690166	100690562	-	sj	2	22	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	canonical exon 10-11 splicing	canonical	10	NA	NA	NM_001370165.1
chrX	100690639	100691107	-	sj	6	22	6	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	canonical exon 9-10 splicing	canonical	9	NA	NA	NM_001370165.1
chrX	100691210	100700896	-	sj	3	22	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	canonical exon 8-9 splicing	canonical	8	NA	NA	NM_001370165.1
chrX	100701000	100701219	-	sj	2	22	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	canonical exon 7-8 splicing	canonical	7	NA	NA	NM_001370165.1
chrX	100724059	100724289	+	sj	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	unannotated intronic junction (opposite strand)	unannotated intron (opposite strand)	NA	intronic	NA	NM_001370165.1
chrX	10078876	10079724	+	sj	99	21	99	0	0	25	0	0	0	0	0	74	0	0	0	0	0	0	0	0	canonical exon 5-6 splicing	canonical	5	NA	NA	NM_015691.5
chrX	10078876	10090770	+	sj	4	1	4	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	exon 6 skipping	exon skipping	"5, 6"	NA	NA	NM_015691.5
chrX	100796450	101343067	+	sj	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	unannotated intergenic junction	unannotated intron	NA	intergenic	NA	unknown
chrX	10079805	10090770	+	sj	146	21	146	0	0	65	0	0	0	0	0	81	0	0	0	0	0	0	0	0	canonical exon 6-7 splicing	canonical	6	NA	NA	NM_015691.5
chrX	10081057	10081465	-	sj	2	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unannotated intronic junction (opposite strand)	unannotated intron (opposite strand)	NA	intronic	NA	NM_015691.5
chrX	100815967	101395342	-	sj	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	unannotated intergenic/exonic junction (opposite strand)	unannotated intron (opposite strand)	NA	intergenic/exonic	NA	NM_021029.6
chrX	100820475	100821526	+	sj	56	21	56	0	0	25	0	0	0	0	0	31	0	0	0	0	0	0	0	0	canonical exon 1-2 splicing	canonical	1	NA	NA	NM_001325.3
chrX	100821606	100822250	+	sj	69	21	69	0	0	41	0	0	0	0	0	28	0	0	0	0	0	0	0	0	canonical exon 2-3 splicing	canonical	2	NA	NA	NM_001325.3
chrX	100822421	100823291	+	sj	66	21	66	0	0	25	0	0	0	0	0	41	0	0	0	0	0	0	0	0	canonical exon 3-4 splicing	canonical	3	NA	NA	NM_001325.3
chrX	100823429	100823885	+	sj	102	21	102	0	0	53	0	0	0	0	0	49	0	0	0	0	0	0	0	0	canonical exon 4-5 splicing	canonical	4	NA	NA	NM_001325.3
chrX	100824006	100824119	+	sj	61	21	61	0	0	38	0	0	0	0	0	23	0	0	0	0	0	0	0	0	canonical exon 5-6 splicing	canonical	5	NA	NA	NM_001325.3
chrX	100824184	100826633	+	sj	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	cryptic exon 6 donor @ -74	cryptic donor	6	exon 6	-74	NM_001325.3
chrX	100824258	100826633	+	sj	30	21	30	0	0	17	0	0	0	0	0	13	0	0	0	0	0	0	0	0	canonical exon 6-7 splicing	canonical	6	NA	NA	NM_001325.3
chrX	100824258	100826684	+	sj	1	21	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	alternate exon 7 acceptor @ +51 (NM_001306209.2 exon 6-7)	alternate acceptor	6	exon 7	51	NM_001325.3
chrX	100826758	100828039	+	sj	30	21	30	0	0	13	0	1	0	0	0	16	0	0	0	0	0	0	0	0	canonical exon 7-8 splicing	canonical	7	NA	NA	NM_001325.3
chrX	100828103	100831514	+	sj	34	21	34	0	0	14	0	0	0	0	0	20	0	0	0	0	0	0	0	0	canonical exon 8-9 splicing	canonical	8	NA	NA	NM_001325.3
chrX	100830868	100831514	+	sj	4	21	4	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	alternate intron 8 donor @ +2766 (NM_001306206.2 exon 9-10)	alternate donor	8	intron 8	2766	NM_001325.3
chrX	100831657	100832733	+	sj	55	21	55	0	0	33	0	0	0	0	0	22	0	0	0	0	0	0	0	0	canonical exon 9-10 splicing	canonical	9	NA	NA	NM_001325.3
chrX	100832910	100833179	+	sj	53	21	53	0	0	33	0	0	0	0	0	20	0	0	0	0	0	0	0	0	canonical exon 10-11 splicing	canonical	10	NA	NA	NM_001325.3
chrX	100833473	100837338	+	sj	93	21	93	0	0	55	0	0	0	0	0	38	0	0	0	0	0	0	0	0	canonical exon 11-12 splicing	canonical	11	NA	NA	NM_001325.3
chrX	100837174	101395342	-	sj	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	unannotated intergenic junction	unannotated intron	NA	intergenic	NA	NA
chrX	100837450	100838238	+	sj	34	21	34	0	0	14	0	0	0	0	0	20	0	0	0	0	0	0	0	0	canonical exon 12-13 splicing	canonical	12	NA	NA	NM_001325.3
chrX	100838365	100840713	+	sj	72	21	72	0	0	33	0	0	0	0	0	39	0	0	0	0	0	0	0	0	canonical exon 13-14 splicing	canonical	13	NA	NA	NM_001325.3
chrX	10084558	10172933	+	sj	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	unannotated intergenic junction	unannotated intron	NA	intergenic	NA	NA
chrX	100862304	100862391	-	sj	2	22	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	canonical exon 6-7 splicing	canonical	6	NA	NA	NM_007052.5
chrX	100868947	101435929	+	sj	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	unannotated intergenic/intronic junction (opposite strand)	unannotated intron (opposite strand)	NA	intergenic/intronic	NA	NM_007052.5
chrX	100876987	101009683	+	sj	2	3	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	unannotated intergenic/exonic junction (opposite strand)	unannotated intron (opposite strand)	NA	intergenic/exonic	NA	NM_024917.6
chrX	10089810	10090770	+	sj	2	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	cryptic intron 6 donor @ +10006	cryptic donor	6	intron 6	10006	NM_015691.5
chrX	10090901	10092651	+	sj	10	1	10	0	0	7	0	0	0	0	0	3	0	0	0	0	0	0	0	0	cryptic intron 7 acceptor @ -1481	cryptic acceptor	7	intron 7	-1481	NM_015691.5
chrX	10090901	10094131	+	sj	241	21	241	0	0	129	0	0	0	0	0	112	0	0	0	0	0	0	0	0	canonical exon 7-8 splicing	canonical	7	NA	NA	NM_015691.5
chrX	100915084	100922792	-	sj	9	22	9	0	0	0	0	5	0	4	0	0	0	0	0	0	0	0	0	0	canonical exon 2-3 splicing	canonical	2	NA	NA	NM_212559.3
chrX	100923062	100949107	-	sj	1	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	cryptic intergenic donor @ -21138	cryptic donor	NA	intergenic	-21138	NM_212559.3
chrX	10093014	10094131	+	sj	4	1	4	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	cryptic intron 7 donor @ +2114	cryptic donor	7	intron 7	2114	NM_015691.5
chrX	100939663	100948091	+	sj	2	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	unannotated intergenic junction	unannotated intron	NA	intergenic	NA	unknown
chrX	10094282	10098505	+	sj	146	21	146	0	0	75	0	0	0	0	0	71	0	0	0	0	0	0	0	0	canonical exon 8-9 splicing	canonical	8	NA	NA	NM_015691.5
chrX	100945926	101050464	-	sj	1	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	unannotated intergenic/intronic junction (opposite strand)	unannotated intron (opposite strand)	NA	intergenic/intronic	NA	NM_024917.6
chrX	100949327	100957312	-	sj	14	2	14	0	0	0	0	6	0	8	0	0	0	0	0	0	0	0	0	0	unannotated intergenic junction	unannotated intron	NA	intergenic	NA	unknown
chrX	100957529	100973025	-	sj	1	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	unannotated intergenic/intronic junction (opposite strand)	unannotated intron (opposite strand)	NA	intergenic/intronic	NA	NM_001162491.2
chrX	100972454	100972631	-	sj	1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	unannotated intronic junction (opposite strand)	unannotated intron (opposite strand)	NA	intronic	NA	NM_001162491.2
chrX	100973205	100973280	+	sj	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	unannotated intronic junction	unannotated intron	NA	intronic	NA	NM_001162491.2
chrX	100973723	101010522	-	sj	3	2	3	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	unannotated intergenic/exonic junction (opposite strand)	unannotated intron (opposite strand)	NA	intergenic/exonic	NA	NM_024917.6
chrX	100973723	101010609	-	sj	4	2	4	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	unannotated intergenic/exonic junction (opposite strand)	unannotated intron (opposite strand)	NA	intergenic/exonic	NA	NM_024917.6
chrX	100982278	101007433	+	sj	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	unannotated intergenic/intronic junction	unannotated intron	NA	intergenic/intronic	NA	NM_001162491.2
chrX	10098580	10103040	+	sj	4	1	4	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	cryptic intron 9 acceptor @ -6738	cryptic acceptor	9	intron 9	-6738	NM_015691.5
chrX	10098580	10109777	+	sj	176	21	176	0	0	79	0	0	0	0	0	97	0	0	0	0	0	0	0	0	canonical exon 9-10 splicing	canonical	9	NA	NA	NM_015691.5
chrX	100998196	101043505	+	sj	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	unannotated intergenic/intronic junction (opposite strand)	unannotated intron (opposite strand)	NA	intergenic/intronic	NA	NM_024917.6
chrX	101000241	101008544	-	sj	2	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	unannotated intergenic junction	unannotated intron	NA	intergenic	NA	unknown
chrX	101001453	101002616	-	sj	1	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	unannotated intergenic junction	unannotated intron	NA	intergenic	NA	unknown
chrX	101002679	101003046	-	sj	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	unannotated intergenic junction	unannotated intron	NA	intergenic	NA	unknown
chrX	101004732	101497469	-	sj	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	unannotated intergenic junction	unannotated intron	NA	intergenic	NA	unknown
chrX	101005990	101230293	+	sj	2	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	unannotated intergenic/intronic junction (opposite strand)	unannotated intron (opposite strand)	NA	intergenic/intronic	NA	NM_001939.3
chrX	101010348	101898983	+	sj	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	unannotated intergenic junction	unannotated intron	NA	intergenic	NA	NA
chrX	101010708	101013626	-	sj	41	2	41	0	0	0	0	25	0	16	0	0	0	0	0	0	0	0	0	0	cryptic intron 13 donor @ +5345	cryptic donor	13	intron 13	5345	NM_024917.6
chrX	101010708	101018970	-	sj	189	22	189	0	0	0	0	110	0	79	0	0	0	0	0	0	0	0	0	0	canonical exon 13-14 splicing	canonical	13	NA	NA	NM_024917.6
chrX	101010708	101020486	-	sj	1	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	exon 12-13 skipping	exon skipping	"11, 12, 13"	NA	NA	NM_024917.6
chrX	101013740	101018970	-	sj	31	2	31	0	0	0	0	12	0	19	0	0	0	0	0	0	0	0	0	0	cryptic intron 13 acceptor @ -3033	cryptic acceptor	13	intron 13	-3033	NM_024917.6
chrX	101016513	101018346	+	sj	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	unannotated intronic junction (opposite strand)	unannotated intron (opposite strand)	NA	intronic	NA	NM_024917.6
chrX	101019071	101019283	-	sj	132	22	132	0	0	0	0	56	0	76	0	0	0	0	0	0	0	0	0	0	canonical exon 12-13 splicing	canonical	12	NA	NA	NM_024917.6
chrX	101019404	101020486	-	sj	198	22	198	0	0	0	0	111	0	87	0	0	0	0	0	0	0	0	0	0	canonical exon 11-12 splicing	canonical	11	NA	NA	NM_024917.6
chrX	101020589	101021100	-	sj	128	24	127	1	1	0	0	40	0	87	0	0	0	0	0	0	0	0	0	0	canonical exon 10-11 splicing	canonical	10	NA	NA	NM_024917.6
chrX	101020589	101023469	-	sj	1	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	exon 9-10 skipping	exon skipping	"8, 9, 10"	NA	NA	NM_024917.6
chrX	101021316	101021967	-	sj	122	22	122	0	0	0	0	76	0	46	0	0	0	0	0	0	0	0	0	0	canonical exon 9-10 splicing	canonical	9	NA	NA	NM_024917.6
chrX	101021316	101035612	-	sj	2	2	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	exon 8-9 skipping	exon skipping	"7, 8, 9"	NA	NA	NM_024917.6
chrX	101022063	101023469	-	sj	177	22	177	0	0	0	0	95	0	82	0	0	0	0	0	0	0	0	0	0	canonical exon 8-9 splicing	canonical	8	NA	NA	NM_024917.6
chrX	101022063	101035612	-	sj	6	2	6	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	exon 8 skipping	exon skipping	"7, 8"	NA	NA	NM_024917.6
chrX	101023617	101026351	-	sj	1	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	cryptic intron 7 donor @ +9262	cryptic donor	7	intron 7	9262	NM_024917.6
chrX	101023617	101035612	-	sj	173	22	173	0	0	0	0	80	0	93	0	0	0	0	0	0	0	0	0	0	canonical exon 7-8 splicing	canonical	7	NA	NA	NM_024917.6
chrX	101026473	101035612	-	sj	3	2	3	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	cryptic intron 7 acceptor @ -2857	cryptic acceptor	7	intron 7	-2857	NM_024917.6
chrX	101032222	101046861	+	sj	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	unannotated intronic junction (opposite strand)	unannotated intron (opposite strand)	NA	intronic	NA	NM_024917.6
chrX	10103245	10109777	+	sj	5	1	5	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	cryptic intron 9 donor @ +4666	cryptic donor	9	intron 9	4666	NM_015691.5
chrX	101035684	101036973	-	sj	148	22	148	0	0	0	0	67	0	81	0	0	0	0	0	0	0	0	0	0	canonical exon 6-7 splicing	canonical	6	NA	NA	NM_024917.6
chrX	101035684	101041316	-	sj	5	2	5	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	exon 5-6 skipping	exon skipping	"4, 5, 6"	NA	NA	NM_024917.6
chrX	101035684	101051250	-	sj	3	2	3	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	exon 3-4-5-6 skipping	exon skipping	"2, 3, 4, 5, 6"	NA	NA	NM_024917.6
chrX	101035684	101051783	-	sj	3	2	3	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	exon 2-3-4-5-6 skipping/cryptic intron 1 donor @ +34	"exon skipping, cryptic donor"	"1, 2, 3, 4, 5, 6"	intron 1	34	NM_024917.6
chrX	101035684	101051816	-	sj	3	2	3	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	exon 2-3-4-5-6 skipping	exon skipping	"1, 2, 3, 4, 5, 6"	NA	NA	NM_024917.6
chrX	101037074	101037916	-	sj	65	22	65	0	0	0	0	30	0	35	0	0	0	0	0	0	0	0	0	0	canonical exon 5-6 splicing	canonical	5	NA	NA	NM_024917.6
chrX	101037074	101041316	-	sj	46	22	46	0	1	0	0	16	0	29	0	0	0	0	0	0	0	0	0	0	alternate exon 5 skipping (NM_001167971.2 exon 5-6)	alternate exon skipping	"4, 5"	NA	NA	NM_024917.6
chrX	101038052	101041316	-	sj	125	22	125	0	0	0	0	55	0	70	0	0	0	0	0	0	0	0	0	0	canonical exon 4-5 splicing	canonical	4	NA	NA	NM_024917.6
chrX	101038052	101051816	-	sj	1	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	exon 2-3-4 skipping	exon skipping	"1, 2, 3, 4"	NA	NA	NM_024917.6
chrX	101039115	101040285	-	sj	1	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	unannotated intronic junction	unannotated intron	NA	intronic	NA	NM_024917.6
chrX	101040287	101041316	-	sj	1	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	cryptic intron 4 acceptor @ -2236	cryptic acceptor	4	intron 4	-2236	NM_024917.6
