seqnames	start	end	strand	gene	event	annotated	frame_conserved	intron_no	SJ_IR	seen_in_treatment	dmso_avg_proportion	dmso_stdev	dmso_avg_reads	chx_avg_proportion	chx_stdev	chx_avg_reads	n
chr12	40232384	40235625	+	LRRK2	canonical exon 3-4 splicing	canonical	TRUE	3	SJ	both	81.37%	5.00%	35.35	84.39%	6.69%	26.25	20
chr11	108343372	108345742	+	ATM	canonical exon 58-59 splicing	canonical	TRUE	58	SJ	both	84.28%	3.91%	195.55	84.32%	5.21%	163.95	20
chr19	11111640	11113277	+	LDLR	canonical exon 8-9 splicing	canonical	TRUE	8	SJ	both	84.64%	3.52%	840.45	84.31%	3.90%	2868.95	20
chr15	48520818	48526129	-	FBN1	canonical exon 9-10 splicing	canonical	TRUE	9	SJ	both	84.66%	3.35%	8580.75	84.21%	4.11%	8129.95	20
chrX	41198751	41201059	+	USP9X	canonical exon 30-31 splicing	canonical	TRUE	30	SJ	both	85.44%	2.82%	1089.8	84.13%	4.02%	934.05	20
chr2	237324815	237325559	-	COL6A3	canonical exon 43-44 splicing	canonical	TRUE	43	SJ	both	84.55%	3.16%	12827.55	84.10%	3.84%	11079.6	20
chr5	128311426	128311884	-	FBN2	canonical exon 38-39 splicing	canonical	TRUE	38	SJ	both	83.88%	4.89%	1182.55	83.94%	5.39%	987.65	20
chr12	40328461	40334966	+	LRRK2	canonical exon 39-40 splicing	canonical	TRUE	39	SJ	both	83.77%	10.04%	31.45	83.91%	6.26%	33	20
chr1	12329919	12333225	+	VPS13D	canonical exon 37-38 splicing	canonical	TRUE	37	SJ	both	84.38%	4.38%	152.4	83.89%	5.31%	145	20
chrX	41170236	41170469	+	USP9X	canonical exon 19-20 splicing	canonical	TRUE	19	SJ	both	84.17%	2.68%	824.3	83.86%	4.02%	702.25	20
chr9	127817204	127818119	-	ENG	canonical exon 12-13 splicing	canonical	TRUE	12	SJ	both	84.30%	3.55%	2384	83.77%	4.88%	1995.65	20
chr16	2063054	2064271	+	TSC2	canonical exon 14-15 splicing	canonical	TRUE	14	SJ	both	83.32%	3.33%	383.55	83.73%	4.69%	343.9	20
chr17	31350319	31352256	+	NF1	canonical exon 50-51 splicing	canonical	TRUE	50	SJ	both	84.00%	3.03%	391.7	83.68%	4.33%	490.95	20
chr1	12356091	12356397	+	VPS13D	canonical exon 48-49 splicing	canonical	TRUE	48	SJ	both	84.14%	4.57%	83.25	83.63%	4.30%	82.3	20
chr17	31233214	31235610	+	NF1	canonical exon 27-28 splicing	canonical	TRUE	27	SJ	both	84.32%	3.13%	372.2	83.62%	4.10%	480.9	20
chr9	127825358	127825694	-	ENG	canonical exon 5-6 splicing	canonical	TRUE	5	SJ	both	83.92%	3.17%	1563	83.57%	3.63%	1286.5	20
chr16	2079429	2079556	+	TSC2	canonical exon 28-29 splicing	canonical	TRUE	28	SJ	both	83.28%	4.49%	619.85	83.49%	5.06%	543	20
chr15	48515528	48516182	-	FBN1	canonical exon 11-12 splicing	canonical	TRUE	11	SJ	both	83.94%	3.78%	4368.1	83.46%	4.48%	4126.25	20
chr11	108245027	108246963	+	ATM	canonical exon 8-9 splicing	canonical	TRUE	8	SJ	both	85.19%	3.83%	166.55	83.38%	5.50%	129.1	20
chr15	48470757	48472550	-	FBN1	canonical exon 35-36 splicing	canonical	TRUE	35	SJ	both	83.83%	3.02%	6731.3	83.36%	3.68%	6356.85	20
chr12	40274728	40274853	+	LRRK2	canonical exon 15-16 splicing	canonical	TRUE	15	SJ	both	82.30%	9.51%	18.2	83.34%	8.42%	14.95	20
chr11	108330422	108331443	+	ATM	canonical exon 51-52 splicing	canonical	TRUE	51	SJ	both	83.67%	4.44%	305.15	83.31%	4.06%	253.2	20
chr1	12261150	12261900	+	VPS13D	canonical exon 12-13 splicing	canonical	TRUE	12	SJ	both	82.82%	4.02%	177.5	83.31%	5.14%	158.1	20
chr5	128286850	128287307	-	FBN2	canonical exon 54-55 splicing	canonical	TRUE	54	SJ	both	82.71%	4.60%	1225.8	83.28%	4.58%	1097.5	20
chrX	41153082	41162789	+	USP9X	canonical exon 14-15 splicing	canonical	TRUE	14	SJ	both	84.26%	3.30%	1079.6	83.27%	4.11%	940.9	20
chr21	25891869	25897572	-	APP	canonical exon 16-17 splicing	canonical	TRUE	16	SJ	both	83.53%	3.94%	10193.95	83.26%	4.40%	8487.65	20
chr17	31349252	31350182	+	NF1	canonical exon 49-50 splicing	canonical	TRUE	49	SJ	both	83.13%	3.84%	271.6	83.26%	4.01%	350.25	20
chr17	31358623	31358968	+	NF1	canonical exon 55-56 splicing	canonical	TRUE	55	SJ	both	82.98%	1.96%	348.95	83.26%	2.93%	441.4	20
chr1	12291125	12293523	+	VPS13D	canonical exon 23-24 splicing	canonical	TRUE	23	SJ	both	84.15%	4.30%	170.35	83.07%	5.15%	161.6	20
chr12	40295645	40298242	+	LRRK2	canonical exon 23-24 splicing	canonical	TRUE	23	SJ	both	81.03%	11.63%	26.85	83.05%	7.09%	22.7	20
chrX	41184676	41186516	+	USP9X	canonical exon 23-24 splicing	canonical	TRUE	23	SJ	both	83.61%	3.22%	839.95	83.02%	3.96%	723.4	20
chr5	128291655	128300816	-	FBN2	canonical exon 48-49 splicing	canonical	TRUE	48	SJ	both	84.73%	4.90%	941.05	83.01%	4.56%	803.6	20
chr9	127824975	127825230	-	ENG	canonical exon 6-7 splicing	canonical	TRUE	6	SJ	both	83.58%	5.19%	2674.35	82.99%	5.63%	2188.5	20
chr5	128344511	128345356	-	FBN2	canonical exon 24-25 splicing	canonical	TRUE	24	SJ	both	83.31%	4.05%	1059	82.99%	5.50%	865.35	20
chr1	12278039	12279498	+	VPS13D	canonical exon 19-20 splicing	canonical	TRUE	19	SJ	both	82.98%	3.65%	244.45	82.96%	4.18%	230	20
chr16	2075893	2076067	+	TSC2	canonical exon 23-24 splicing	canonical	TRUE	23	SJ	both	83.59%	3.67%	429.4	82.93%	4.38%	379.5	20
chr16	2103896	2104497	-	PKD1	canonical exon 22-23 splicing	canonical	TRUE	22	SJ	both	83.14%	5.58%	501.6	82.93%	7.20%	304.45	20
chr5	128357396	128361722	-	FBN2	canonical exon 19-20 splicing	canonical	TRUE	19	SJ	both	83.03%	3.17%	1320.55	82.92%	3.92%	1055.85	20
chr2	237375021	237376771	-	COL6A3	canonical exon 7-8 splicing	canonical	TRUE	7	SJ	both	83.25%	4.24%	16200.9	82.91%	4.68%	13870.05	20
chr21	46000768	46001252	+	COL6A1	canonical exon 29-30 splicing	canonical	TRUE	29	SJ	both	83.02%	3.67%	27608.8	82.90%	4.09%	22970.15	20
chr11	108272853	108279490	+	ATM	canonical exon 23-24 splicing	canonical	TRUE	23	SJ	both	83.66%	4.28%	180.05	82.87%	4.54%	141.4	20
chr15	48465859	48467937	-	FBN1	canonical exon 38-39 splicing	canonical	TRUE	38	SJ	both	83.16%	3.77%	5213.1	82.86%	4.12%	4901.95	20
chrX	41137023	41140655	+	USP9X	canonical exon 6-7 splicing	canonical	TRUE	6	SJ	both	83.40%	3.62%	531.95	82.85%	3.95%	468.2	20
chr1	12244437	12244536	+	VPS13D	canonical exon 4-5 splicing	canonical	TRUE	4	SJ	both	83.08%	5.16%	203.4	82.85%	4.37%	179.15	20
chr9	132921437	132921818	-	TSC1	canonical exon 7-8 splicing	canonical	TRUE	7	SJ	both	82.87%	3.17%	285.35	82.81%	3.88%	279.3	20
chr17	31227607	31229024	+	NF1	canonical exon 20-21 splicing	canonical	TRUE	20	SJ	both	82.81%	3.30%	435.1	82.74%	4.04%	534.1	20
chr12	40274994	40277887	+	LRRK2	canonical exon 16-17 splicing	canonical	TRUE	16	SJ	both	82.74%	7.82%	23.6	82.69%	7.38%	21.65	20
chr1	12383156	12385259	+	VPS13D	canonical exon 58-59 splicing	canonical	TRUE	58	SJ	both	82.38%	4.09%	218.45	82.69%	4.31%	211.2	20
chr16	2062009	2062496	+	TSC2	canonical exon 12-13 splicing	canonical	TRUE	12	SJ	both	83.42%	4.22%	390.95	82.67%	4.38%	341.55	20
chrX	41167578	41168006	+	USP9X	canonical exon 17-18 splicing	canonical	TRUE	17	SJ	both	83.09%	3.08%	917.65	82.65%	3.51%	764.4	20
chr15	48495261	48495468	-	FBN1	canonical exon 21-22 splicing	canonical	TRUE	21	SJ	both	83.04%	3.32%	4576.4	82.57%	3.74%	4258.5	20
chr1	12368592	12369466	+	VPS13D	canonical exon 53-54 splicing	canonical	TRUE	53	SJ	both	82.97%	4.53%	153.65	82.56%	6.45%	144.85	20
chrX	41218598	41219101	+	USP9X	canonical exon 37-38 splicing	canonical	TRUE	37	SJ	both	83.41%	3.15%	456.95	82.51%	4.09%	388.25	20
chr1	12378592	12379487	+	VPS13D	canonical exon 56-57 splicing	canonical	TRUE	56	SJ	both	82.06%	3.98%	145.05	82.50%	4.45%	136.65	20
chr11	108335110	108335844	+	ATM	canonical exon 56-57 splicing	canonical	TRUE	56	SJ	both	82.24%	3.08%	272.75	82.48%	3.37%	229.5	20
chr17	31163377	31169890	+	NF1	canonical exon 4-5 splicing	canonical	TRUE	4	SJ	both	84.52%	3.90%	201.3	82.47%	4.76%	250.2	20
chr15	48513669	48515386	-	FBN1	canonical exon 12-13 splicing	canonical	TRUE	12	SJ	both	83.05%	3.03%	5260.1	82.42%	3.73%	5074.65	20
chrX	41223403	41224741	+	USP9X	canonical exon 39-40 splicing	canonical	TRUE	39	SJ	both	82.79%	3.47%	914	82.42%	3.72%	773.55	20
chr15	48537809	48596282	-	FBN1	canonical exon 6-7 splicing	canonical	TRUE	6	SJ	both	82.72%	3.93%	6071.05	82.31%	4.33%	5829.1	20
chr16	2100310	2100395	-	PKD1	canonical exon 27-28 splicing	canonical	TRUE	27	SJ	both	82.39%	4.77%	279.8	82.31%	4.95%	168.9	20
chr15	48492587	48494203	-	FBN1	canonical exon 23-24 splicing	canonical	TRUE	23	SJ	both	82.86%	3.66%	3329.6	82.29%	4.22%	3268.6	20
chr5	128336114	128337996	-	FBN2	canonical exon 27-28 splicing	canonical	TRUE	27	SJ	both	81.86%	3.32%	1256	82.28%	4.57%	1058.75	20
chr2	237342162	237344349	-	COL6A3	canonical exon 36-37 splicing	canonical	TRUE	36	SJ	both	82.61%	3.45%	16868.15	82.22%	3.67%	14116.75	20
chrX	41205494	41210508	+	USP9X	canonical exon 32-33 splicing	canonical	TRUE	32	SJ	both	83.49%	3.91%	834.3	82.21%	4.37%	708.55	20
chr1	12354222	12355898	+	VPS13D	canonical exon 47-48 splicing	canonical	TRUE	47	SJ	both	81.70%	3.12%	130.2	82.19%	4.54%	119.95	20
chr11	108317522	108319953	+	ATM	canonical exon 44-45 splicing	canonical	TRUE	44	SJ	both	82.76%	4.01%	248.8	82.16%	4.27%	196.5	20
chrX	41148576	41150920	+	USP9X	canonical exon 12-13 splicing	canonical	TRUE	12	SJ	both	85.05%	2.90%	999.2	82.11%	3.71%	842.6	20
chr16	2057179	2058746	+	TSC2	canonical exon 9-10 splicing	canonical	TRUE	9	SJ	both	81.89%	3.80%	303.05	82.07%	4.54%	269.75	20
chr15	48505148	48508581	-	FBN1	canonical exon 15-16 splicing	canonical	TRUE	15	SJ	both	82.27%	3.06%	10454.5	82.04%	3.62%	9907.1	20
chr15	48474651	48481654	-	FBN1	canonical exon 32-33 splicing	canonical	TRUE	32	SJ	both	82.72%	2.92%	6730.6	82.03%	3.75%	6334.95	20
chr12	40308697	40309105	+	LRRK2	canonical exon 29-30 splicing	canonical	TRUE	29	SJ	both	85.73%	7.68%	30.15	82.02%	20.10%	27.35	20
chr9	132921974	132923347	-	TSC1	canonical exon 6-7 splicing	canonical	TRUE	6	SJ	both	83.25%	3.34%	319.5	82.01%	4.41%	322.3	20
chr12	40359445	40363401	+	LRRK2	canonical exon 47-48 splicing	canonical	TRUE	47	SJ	both	79.35%	19.73%	34.95	81.99%	7.04%	33	20
chr21	46124714	46124884	+	COL6A2	canonical exon 22-23 splicing	canonical	TRUE	22	SJ	both	82.30%	4.22%	31987.8	81.98%	4.86%	27172.5	20
chrX	41225138	41229252	+	USP9X	canonical exon 41-42 splicing	canonical	TRUE	41	SJ	both	82.30%	3.84%	869.65	81.87%	4.40%	739.6	20
chr5	128335296	128335454	-	FBN2	canonical exon 29-30 splicing	canonical	TRUE	29	SJ	both	82.06%	3.99%	977.8	81.85%	4.85%	822.15	20
chrX	41217344	41218371	+	USP9X	canonical exon 36-37 splicing	canonical	TRUE	36	SJ	both	82.33%	2.74%	748.1	81.83%	3.16%	627.1	20
chr1	42927242	42927604	-	SLC2A1	canonical exon 9-10 splicing	canonical	TRUE	9	SJ	both	81.95%	3.98%	695.2	81.83%	4.34%	1129.6	20
chr16	2064428	2065518	+	TSC2	canonical exon 15-16 splicing	canonical	TRUE	15	SJ	both	81.45%	4.17%	585.05	81.82%	4.80%	516.55	20
chr9	132902788	132903650	-	TSC1	canonical exon 17-18 splicing	canonical	TRUE	17	SJ	both	82.42%	3.71%	267.4	81.77%	4.87%	254.35	20
chr16	2056245	2056643	+	TSC2	canonical exon 7-8 splicing	canonical	TRUE	7	SJ	both	80.87%	3.30%	458.5	81.77%	4.52%	401.1	20
chr21	26051194	26053235	-	APP	canonical exon 4-5 splicing	canonical	TRUE	4	SJ	both	82.15%	3.50%	5727.65	81.76%	4.11%	4891.1	20
chr12	40320176	40321033	+	LRRK2	canonical exon 34-35 splicing	canonical	TRUE	34	SJ	both	81.34%	5.37%	36.35	81.76%	8.01%	36.6	20
chr1	12260795	12260947	+	VPS13D	canonical exon 11-12 splicing	canonical	TRUE	11	SJ	both	82.02%	4.02%	144.35	81.74%	5.58%	131.9	20
chr9	132901700	132902604	-	TSC1	canonical exon 18-19 splicing	canonical	TRUE	18	SJ	both	81.83%	3.51%	209.6	81.71%	4.20%	214.8	20
chr2	237333549	237334625	-	COL6A3	canonical exon 41-42 splicing	canonical	TRUE	41	SJ	both	82.07%	3.70%	28603.6	81.70%	4.11%	25606.2	20
chr11	108345909	108347278	+	ATM	canonical exon 59-60 splicing	canonical	TRUE	59	SJ	both	81.69%	3.86%	365.15	81.70%	3.98%	305.75	20
chr1	12497632	12506852	+	VPS13D	canonical exon 68-69 splicing	canonical	TRUE	68	SJ	both	81.78%	4.75%	90.1	81.65%	4.90%	90.45	20
chr11	108327759	108329020	+	ATM	canonical exon 49-50 splicing	canonical	TRUE	49	SJ	both	80.55%	3.23%	299.15	81.64%	4.06%	247.5	20
chr2	237345095	237345180	-	COL6A3	canonical exon 33-34 splicing	canonical	TRUE	33	SJ	both	81.89%	3.29%	26106.7	81.63%	3.77%	22702.25	20
chr1	12400331	12401607	+	VPS13D	canonical exon 61-62 splicing	canonical	TRUE	61	SJ	both	81.88%	2.87%	199.7	81.62%	4.17%	200.6	20
chr1	12244618	12249222	+	VPS13D	canonical exon 5-6 splicing	canonical	TRUE	5	SJ	both	81.08%	3.62%	213	81.61%	2.84%	193.95	20
chr15	48460318	48463081	-	FBN1	canonical exon 42-43 splicing	canonical	TRUE	42	SJ	both	81.95%	3.69%	6107.85	81.60%	4.44%	5665.85	20
chr15	48446823	48448767	-	FBN1	canonical exon 46-47 splicing	canonical	TRUE	46	SJ	both	81.84%	3.19%	4648.95	81.58%	3.65%	4528	20
chr17	31356583	31356959	+	NF1	canonical exon 52-53 splicing	canonical	TRUE	52	SJ	both	82.34%	2.87%	666.05	81.57%	3.67%	853.35	20
chr15	48437918	48441720	-	FBN1	canonical exon 50-51 splicing	canonical	TRUE	50	SJ	both	81.90%	3.79%	3619.95	81.54%	4.34%	3591.05	20
chrX	41219232	41223216	+	USP9X	canonical exon 38-39 splicing	canonical	TRUE	38	SJ	both	81.82%	3.33%	834.7	81.53%	3.60%	710.2	20
chr1	12256504	12256986	+	VPS13D	canonical exon 8-9 splicing	canonical	TRUE	8	SJ	both	80.66%	3.38%	228.5	81.53%	4.44%	206.2	20
chr5	128318272	128318878	-	FBN2	canonical exon 35-36 splicing	canonical	TRUE	35	SJ	both	81.92%	4.44%	1072.2	81.52%	4.38%	889.55	20
chr15	48499039	48503786	-	FBN1	canonical exon 17-18 splicing	canonical	TRUE	17	SJ	both	81.94%	3.64%	6877.4	81.51%	4.41%	6451.55	20
chr11	108267343	108268409	+	ATM	canonical exon 18-19 splicing	canonical	TRUE	18	SJ	both	82.96%	4.48%	175.9	81.49%	5.60%	133.9	20
chr17	31359016	31360486	+	NF1	canonical exon 56-57 splicing	canonical	TRUE	56	SJ	both	81.65%	3.24%	476.8	81.49%	3.54%	604	20
chr5	128536485	128537349	-	FBN2	canonical exon 1-2 splicing	canonical	TRUE	1	SJ	both	83.10%	5.87%	871.95	81.47%	4.47%	735	20
chr2	237366036	237366686	-	COL6A3	canonical exon 11-12 splicing	canonical	TRUE	11	SJ	both	81.43%	3.58%	11617.25	81.40%	4.18%	9685.2	20
chr15	48487438	48488112	-	FBN1	canonical exon 27-28 splicing	canonical	TRUE	27	SJ	both	81.86%	3.17%	5363.95	81.38%	3.82%	5154.15	20
chr21	46000368	46000758	+	COL6A1	canonical exon 28-29 splicing	canonical	TRUE	28	SJ	both	81.68%	3.84%	26555.8	81.38%	4.29%	22020.25	20
chr2	237334890	237336134	-	COL6A3	canonical exon 40-41 splicing	canonical	TRUE	40	SJ	both	81.80%	4.24%	26275.65	81.37%	4.93%	23225.9	20
chr17	31227292	31227522	+	NF1	canonical exon 19-20 splicing	canonical	TRUE	19	SJ	both	81.74%	3.56%	604.25	81.37%	3.75%	755.95	20
chr5	128319002	128328695	-	FBN2	canonical exon 34-35 splicing	canonical	TRUE	34	SJ	both	82.22%	4.49%	1210.75	81.35%	4.30%	1005.2	20
chr21	46125618	46125784	+	COL6A2	canonical exon 25-26 splicing	canonical	TRUE	25	SJ	both	81.72%	4.19%	38151.6	81.35%	4.71%	31812.25	20
chr16	2093739	2093810	-	PKD1	canonical exon 36-37 splicing	canonical	TRUE	36	SJ	both	80.45%	5.44%	428.45	81.32%	6.11%	256.2	20
chr17	31340646	31343008	+	NF1	canonical exon 47-48 splicing	canonical	TRUE	47	SJ	both	81.51%	3.24%	354.75	81.29%	3.89%	439.65	20
chr1	12293705	12299201	+	VPS13D	canonical exon 24-25 splicing	canonical	TRUE	24	SJ	both	81.68%	3.69%	130.9	81.27%	4.61%	123.05	20
chr12	40302883	40303947	+	LRRK2	canonical exon 26-27 splicing	canonical	TRUE	26	SJ	both	79.69%	5.65%	45.05	81.23%	6.66%	40.5	20
chr17	31230926	31232072	+	NF1	canonical exon 24-25 splicing	canonical	TRUE	24	SJ	both	81.82%	3.67%	511.9	81.22%	3.89%	653.35	20
chr16	2071617	2071783	+	TSC2	canonical exon 18-19 splicing	canonical	TRUE	18	SJ	both	81.78%	4.27%	431.9	81.22%	4.92%	380.85	20
chr16	2106025	2106090	-	PKD1	canonical exon 19-20 splicing	canonical	TRUE	19	SJ	both	78.54%	4.94%	357.4	81.21%	5.45%	210.55	20
chr1	12267012	12267844	+	VPS13D	canonical exon 14-15 splicing	canonical	TRUE	14	SJ	both	81.38%	3.97%	236.8	81.19%	4.47%	216.1	20
chr1	226875551	226881887	+	PSEN2	canonical exon 3-4 splicing	canonical	TRUE	3	SJ	both	79.37%	6.02%	104.25	81.19%	7.96%	83.3	20
chr12	40240618	40243549	+	LRRK2	canonical exon 6-7 splicing	canonical	TRUE	6	SJ	both	75.42%	10.85%	22.3	81.19%	12.33%	19.7	20
chr15	48448894	48452561	-	FBN1	canonical exon 45-46 splicing	canonical	TRUE	45	SJ	both	81.67%	3.40%	9881.15	81.18%	4.02%	9444.85	20
chr21	45987176	45987498	+	COL6A1	canonical exon 6-7 splicing	canonical	TRUE	6	SJ	both	81.49%	4.33%	31973.4	81.18%	5.08%	26884.65	20
chr21	46119851	46120514	+	COL6A2	canonical exon 15-16 splicing	canonical	TRUE	15	SJ	both	81.53%	3.54%	20640.6	81.12%	4.16%	16894.1	20
chr2	237341151	237342064	-	COL6A3	canonical exon 37-38 splicing	canonical	TRUE	37	SJ	both	81.40%	3.80%	17345.55	81.10%	4.30%	14937.75	20
chr15	48472677	48474254	-	FBN1	canonical exon 34-35 splicing	canonical	TRUE	34	SJ	both	81.55%	3.55%	6101	81.09%	4.24%	5825.6	20
chr16	2106678	2106804	-	PKD1	canonical exon 17-18 splicing	canonical	TRUE	17	SJ	both	80.78%	3.81%	448.6	81.07%	3.80%	257.2	20
chr9	132897611	132900714	-	TSC1	canonical exon 20-21 splicing	canonical	TRUE	20	SJ	both	81.25%	4.39%	197.9	81.06%	5.39%	204.25	20
chr17	31201486	31206239	+	NF1	canonical exon 11-12 splicing	canonical	TRUE	11	SJ	both	85.27%	1.98%	319.45	81.05%	3.83%	420	20
chr11	108271147	108271250	+	ATM	canonical exon 20-21 splicing	canonical	TRUE	20	SJ	both	82.37%	3.59%	300.85	81.05%	3.88%	260.85	20
chrX	41141432	41143290	+	USP9X	canonical exon 9-10 splicing	canonical	TRUE	9	SJ	both	81.55%	3.81%	892.3	81.02%	3.93%	739.65	20
chr21	45984470	45986525	+	COL6A1	canonical exon 3-4 splicing	canonical	TRUE	3	SJ	both	81.36%	4.21%	26396.35	81.00%	4.67%	22033.95	20
