chrom	start	end	strand	transcript	gene
chr1	207496156	207641765	+	NM_000651.6	CR1
chr1	169690666	169711620	-	NM_000655.5	SELL
chr1	203127725	203167405	+	NM_000674.3	ADORA1
chr1	111499428	111503633	-	NM_000677.4	ADORA3
chr1	165662215	165698562	-	NM_000696.4	ALDH9A1
chr1	103617426	103625780	+	NM_000699.4	AMY2A
chr1	116373243	116404774	+	NM_000701.8	ATP1A1
chr1	160115758	160143591	+	NM_000702.4	ATP1A2
chr1	206106935	206117388	-	NM_000707.5	AVPR1B
chr1	207104232	207144972	+	NM_000715.4	C4BPA
chr1	154567777	154580013	+	NM_000748.3	CHRNB2
chr1	109910848	109930992	+	NM_000757.6	CSF1
chr1	36466042	36482913	-	NM_000760.4	CSF3R
chr1	59893307	59926773	-	NM_000775.4	CYP2J2
chr1	46929187	46941476	-	NM_000778.4	CYP4A11
chr1	53894186	53911086	+	NM_000792.7	DIO1
chr1	2019344	2030758	+	NM_000815.5	GABRD
chr1	36795526	37034515	-	NM_000831.4	GRIK3
chr1	109668056	109675286	+	NM_000848.4	GSTM2
chr1	109733936	109741038	-	NM_000849.5	GSTM3
chr1	109656098	109661700	+	NM_000850.5	GSTM4
chr1	109712250	109718268	+	NM_000851.4	GSTM5
chr1	119507209	119515054	+	NM_000862.3	HSD3B1
chr1	23191894	23217502	-	NM_000864.5	HTR1D
chr1	19664874	19680966	+	NM_000871.3	HTR6
chr1	153678687	153693992	+	NM_000906.4	NPR1
chr1	28812169	28871267	+	NM_000911.4	OPRD1
chr1	20070193	20091911	+	NM_000929.3	PLA2G5
chr1	28147165	28176690	-	NM_000952.5	PTAFR
chr1	78490973	78540701	+	NM_000959.4	PTGFR
chr1	186671790	186680423	-	NM_000963.4	PTGS2
chr1	92832039	92841924	+	NM_000969.5	RPL5
chr1	23691805	23696835	+	NM_000975.5	RPL11
chr1	6185019	6199595	-	NM_000983.4	RPL22
chr1	248573800	248574757	-	NM_001001821.1	OR2T34
chr1	248649837	248655528	-	NM_001001824.2	OR2T27
chr1	248636355	248645278	-	NM_001001827.2	OR2T35
chr1	247605585	247606515	+	NM_001001914.1	OR2G3
chr1	247588359	247589313	+	NM_001001915.1	OR2G2
chr1	248348774	248349713	+	NM_001001918.1	OR14C36
chr1	247895586	247896531	+	NM_001001957.2	OR2W3
chr1	247840927	247841896	-	NM_001001959.1	OR11L1
chr1	247948857	247949796	+	NM_001001963.1	OR2L8
chr1	248623556	248635091	-	NM_001001964.2	OR2T11
chr1	247814659	247824119	-	NM_001001966.2	OR14A16
chr1	11066617	11099869	-	NM_001001998.3	EXOSC10
chr1	171090904	171117819	+	NM_001002294.3	FMO3
chr1	161721543	161728143	+	NM_001002901.4	FCRLB
chr1	74568122	74673792	-	NM_001002912.5	ERICH3
chr1	226548763	226609230	+	NM_001003665.4	STUM
chr1	29119428	29123903	-	NM_001003682.4	TMEM200B
chr1	248445636	248455725	+	NM_001004136.2	OR2T2
chr1	56718788	56819404	-	NM_001004303.5	FYB2
chr1	159802359	159816257	+	NM_001004310.3	FCRL6
chr1	156298623	156299307	-	NM_001004319.3	VHLL
chr1	52842759	52894998	+	NM_001004339.3	ZYG11A
chr1	157092042	157099808	-	NM_001004341.2	ETV3L
chr1	231162057	231221565	+	NM_001004342.5	TRIM67
chr1	241995489	241999098	-	NM_001004343.3	MAP1LC3C
chr1	151800263	151805419	-	NM_001004432.4	LINGO4
chr1	26037251	26046118	-	NM_001004434.3	SLC30A2
chr1	159535077	159536007	-	NM_001004469.1	OR10J5
chr1	158461833	158467458	+	NM_001004473.2	OR10K1
chr1	158398521	158399466	-	NM_001004475.1	OR10T2
chr1	158418209	158426237	-	NM_001004476.2	OR10K2
chr1	158578918	158579899	-	NM_001004477.1	OR10X1
chr1	158605267	158612514	+	NM_001004478.2	OR10Z1
chr1	247965232	247966386	+	NM_001004491.2	OR2AK2
chr1	247449181	247458104	-	NM_001004492.2	OR2B11
chr1	248046835	248063407	+	NM_001004687.2	OR2L3
chr1	248174820	248181067	+	NM_001004688.2	OR2M2
chr1	248197264	248212925	+	NM_001004689.2	OR2M3
chr1	248145147	248146086	+	NM_001004690.1	OR2M5
chr1	248323629	248324568	-	NM_001004691.1	OR2M7
chr1	248290138	248303424	-	NM_001004692.2	OR2T12
chr1	248590486	248597700	-	NM_001004693.2	OR2T10
chr1	248556911	248562772	-	NM_001004694.3	OR2T29
chr1	248269916	248277976	-	NM_001004695.2	OR2T33
chr1	248361664	248362627	+	NM_001004696.2	OR2T4
chr1	248488588	248491113	+	NM_001004697.2	OR2T5
chr1	247738614	247739559	+	NM_001004732.2	OR14K1
chr1	248678137	248702766	-	NM_001004734.4	OR14I1
chr1	158754719	158755891	+	NM_001005184.2	OR6K6
chr1	158764235	158772195	-	NM_001005185.2	OR6N1
chr1	158544549	158554405	-	NM_001005189.2	OR6Y1
chr1	165543999	165563957	+	NM_001005214.4	LRRC52
chr1	450739	451678	-	NM_001005221.2	OR4F29
chr1	685715	686654	-	NM_001005277.1	OR4F16
chr1	158774221	158781204	-	NM_001005278.2	OR6N2
chr1	158699677	158700652	-	NM_001005279.3	OR6K2
chr1	247711435	247716646	-	NM_001005286.2	OR6F1
chr1	158716326	158720720	-	NM_001005327.3	OR6K3
chr1	201283505	201332989	+	NM_001005337.3	PKP1
chr1	204828651	205022822	+	NM_001005388.3	NFASC
chr1	149852607	149853125	+	NM_001005464.3	H3C15
chr1	248375745	248391811	+	NM_001005471.2	OR2T6
chr1	65418	71585	+	NM_001005484.2	OR4F5
chr1	247670811	247679739	-	NM_001005487.2	OR13G1
chr1	248473350	248474307	+	NM_001005495.1	OR2T3
chr1	247920251	247923152	+	NM_001005522.2	OR2T8
chr1	92842166	92961462	-	NM_001006605.5	DIPK1A
chr1	207454327	207489892	+	NM_001006658.3	CR2
chr1	116574407	116667733	-	NM_001007237.3	IGSF3
chr1	206053172	206102449	+	NM_001007544.4	RHEX
chr1	114716915	114757984	-	NM_001007553.3	CSDE1
chr1	23795598	23800754	-	NM_001008216.2	GALE
chr1	103687414	103696210	-	NM_001008218.2	AMY1B
chr1	103749897	103758692	+	NM_001008219.3	AMY1C
chr1	152084140	152089064	-	NM_001008536.2	TCHHL1
chr1	88935778	88992629	-	NM_001008661.3	KYAT3
chr1	40247936	40251684	+	NM_001008740.4	TMCO2
chr1	9728925	9823965	-	NM_001009566.3	CLSTN1
chr1	12879211	12886201	-	NM_001009611.4	PRAMEF4
chr1	52423274	52553092	-	NM_001009881.3	TUT4
chr1	152212075	152224193	-	NM_001009931.3	HRNR
chr1	182054569	182061712	-	NM_001009992.1	ZNF648
chr1	23019467	23083689	+	NM_001009999.3	KDM1A
chr1	154479480	154502412	-	NM_001010846.3	SHE
chr1	13474972	13514003	-	NM_001010847.2	LRRC38
chr1	153203429	153205120	+	NM_001010857.3	LELP1
chr1	228487381	228496188	+	NM_001010858.3	RNF187
chr1	228165803	228182257	+	NM_001010867.4	IBA57
chr1	11762192	11789585	+	NM_001010881.2	C1orf167
chr1	108560099	108639322	+	NM_001010883.3	EEIG2
chr1	12938471	12947580	-	NM_001010889.2	PRAMEF6
chr1	13171847	13179459	+	NM_001010890.3	PRAMEF9
chr1	110150493	110202202	+	NM_001010898.4	SLC6A17
chr1	113876815	113887581	-	NM_001010922.3	BCL2L15
chr1	2528744	2530263	-	NM_001010926.4	HES5
chr1	47137440	47149727	+	NM_001010969.4	CYP4A22
chr1	54007297	54018186	-	NM_001010978.4	LDLRAD1
chr1	154199084	154206333	-	NM_001010979.3	CFAP141
chr1	24556086	24609328	+	NM_001010980.5	NCMAP
chr1	109292364	109307011	-	NM_001010985.3	MYBPHL
chr1	48222715	48248638	+	NM_001011547.3	SLC5A9
chr1	44775539	44778779	+	NM_001012.2	RPS8
chr1	13281303	13285137	-	NM_001012276.3	PRAMEF8
chr1	12916609	12920751	+	NM_001012277.5	PRAMEF7
chr1	92217914	92245813	+	NM_001012425.2	C1orf146
chr1	145845629	145848954	+	NM_001012758.3	NUDT17
chr1	244352634	244389663	+	NM_001012970.3	SPMIP3
chr1	248508072	248527337	+	NM_001013355.2	OR2G6
chr1	13254197	13263435	+	NM_001013407.5	PRAMEF5
chr1	46203333	46221256	+	NM_001013615.3	LURAP1
chr1	161364732	161367876	-	NM_001013625.4	CFAP126
chr1	12644084	12667076	+	NM_001013630.2	AADACL4
chr1	12847376	12848720	-	NM_001013631.3	HNRNPCL1
chr1	15742498	15747982	+	NM_001013641.3	TMEM82
chr1	26993691	27000886	+	NM_001013642.3	TRNP1
chr1	159854315	159862657	-	NM_001013661.1	VSIG8
chr1	21812264	21825225	+	NM_001013693.3	LDLRAD2
chr1	153149581	153150890	-	NM_001014291.4	SPRR2G
chr1	152348734	152360006	-	NM_001014342.3	FLG2
chr1	161159499	161165723	+	NM_001014443.3	USP21
chr1	153112120	153113516	-	NM_001014450.3	SPRR2F
chr1	1242452	1246722	-	NM_001014980.3	C1QTNF12
chr1	207088859	207099993	+	NM_001017365.3	C4BPB
chr1	202193798	202319761	+	NM_001017403.2	LGR6
chr1	215082736	215237090	+	NM_001017425.3	KCNK2
chr1	42817121	42844991	+	NM_001017922.2	ERMAP
chr1	166069298	166167001	-	NM_001017961.5	FAM78B
chr1	91260765	91404837	-	NM_001017975.6	HFM1
chr1	67407809	67430402	-	NM_001018069.2	SERBP1
chr1	30931505	31065717	-	NM_001020658.2	PUM1
chr1	153093134	153094526	-	NM_001024209.4	SPRR2E
chr1	153618798	153627505	-	NM_001024211.2	S100A13
chr1	197902629	197907362	+	NM_001024594.3	C1orf53
chr1	6244178	6245578	+	NM_001024598.4	HES3
chr1	149811878	149812370	-	NM_001024599.5	H2BC18
chr1	212830140	212847649	-	NM_001024601.3	SPATA45
chr1	13341891	13347134	-	NM_001024661.2	PRAMEF14
chr1	152719521	152720470	+	NM_001024679.3	KPLCE
chr1	43996482	44031462	-	NM_001024845.3	SLC6A9
chr1	207880971	207911125	-	NM_001025109.2	CD34
chr1	152758024	152762056	+	NM_001025231.3	KPRP
chr1	161046945	161069891	-	NM_001025598.2	ARHGAP30
chr1	151340639	151347252	-	NM_001025603.2	RFX5
chr1	1324801	1328896	+	NM_001029885.2	CPTP
chr1	153990761	153992155	+	NM_001030.6	RPS27
chr1	54169650	54200030	-	NM_001031672.4	CYB5RL
chr1	223779892	223845947	-	NM_001031685.3	TP53BP2
chr1	200644036	200669907	-	NM_001031725.6	DDX59
chr1	109279555	109283145	-	NM_001032291.3	PSRC1
chr1	19596978	19629820	+	NM_001032363.4	MICOS10
chr1	100872390	100894842	-	NM_001033025.3	EXTL2
chr1	182378097	182391790	-	NM_001033044.4	GLUL
chr1	39895427	39901917	-	NM_001033081.3	MYCL
chr1	211326832	211374946	+	NM_001033910.3	TRAF5
chr1	149860763	149861159	-	NM_001034077.4	H4C15
chr1	237042183	237833988	+	NM_001035.3	RYR2
chr1	98890244	99004861	-	NM_001037317.2	PLPPR5
chr1	120415034	120469676	+	NM_001037501.5	NBPF8
chr1	192316991	192367285	+	NM_001039152.3	RGS21
chr1	1449688	1470163	+	NM_001039211.3	ATAD3C
chr1	12892895	12898270	-	NM_001039361.4	PRAMEF10
chr1	54641785	54710266	+	NM_001039464.4	MROH7
chr1	20290874	20359518	+	NM_001039500.3	VWA5B1
chr1	110210313	110234044	+	NM_001039574.3	KCNC4
chr1	26321864	26354130	-	NM_001039775.4	CRYBG2
chr1	145959440	145964575	-	NM_001039888.4	ANKRD34A
chr1	19312325	19329300	+	NM_001040125.2	SLC66A1
chr1	32539426	32605941	+	NM_001040441.3	ZBTB8A
chr1	109466545	109482134	+	NM_001040709.2	SYPL2
chr1	149851060	149851594	+	NM_001040874.1	H2AC19
chr1	212791893	212816830	+	NM_001042552.3	TATDN3
chr1	8352403	8817640	-	NM_001042681.2	RERE
chr1	52633167	52657065	+	NM_001042693.3	SHISAL2A
chr1	47250138	47314147	-	NM_001048166.1	STIL
chr1	45329241	45339970	-	NM_001048174.2	MUTYH
chr1	28369739	28500364	+	NM_001048183.3	PHACTR4
chr1	12166990	12209220	+	NM_001066.3	TNFRSF1B
chr1	23359447	23369836	-	NM_001077195.2	ZNF436
chr1	150265403	150269016	-	NM_001077628.3	APH1A
chr1	66924989	66988619	+	NM_001077700.3	MIER1
chr1	100719741	100739045	+	NM_001078.4	VCAM1
chr1	10636603	10796646	-	NM_001079843.3	CASZ1
chr1	8318113	8344165	+	NM_001080397.3	SLC45A1
chr1	34865435	34929650	-	NM_001080418.3	DLGAP3
chr1	167094074	167129165	+	NM_001080426.3	STYXL2
chr1	33306765	33321098	-	NM_001080438.1	A3GALT2
chr1	119619376	119648266	-	NM_001080470.2	ZNF697
chr1	156893717	156916429	+	NM_001080471.3	PEAR1
chr1	12773737	12777906	+	NM_001080830.5	PRAMEF12
chr1	151773493	151790500	-	NM_001083965.2	TDRKH
chr1	162381727	162386812	+	NM_001085375.2	C1orf226
chr1	248739414	248755759	-	NM_001085474.2	LYPD8
chr1	58654742	58700062	-	NM_001085487.3	MYSM1
chr1	15807373	15807649	-	NM_001089591.2	UQCRHL
chr1	156072012	156082465	-	NM_001093725.2	MEX3A
chr1	153001748	153003856	+	NM_001097589.2	SPRR3
chr1	145607987	145670650	+	NM_001097612.2	GPR89A
chr1	13315580	13322598	+	NM_001098376.3	PRAMEF15
chr1	154206719	154220590	-	NM_001098616.3	C1orf43
chr1	235547684	235649784	-	NM_001098722.2	GNG4
chr1	32209088	32216192	+	NM_001099434.2	DCDC2B
chr1	37715975	37765120	-	NM_001099439.2	EPHA10
chr1	25819953	25832938	+	NM_001099625.2	MTFR1L
chr1	46799045	46819413	+	NM_001099772.2	CYP4B1
chr1	13368430	13371947	-	NM_001099790.5	PRAMEF19
chr1	13222694	13226154	-	NM_001099850.2	PRAMEF18
chr1	13389631	13392629	+	NM_001099851.3	PRAMEF17
chr1	13410449	13421328	+	NM_001099852.2	PRAMEF20
chr1	229431244	229434094	-	NM_001100.4	ACTA1
chr1	121167645	121184340	-	NM_001100910.2	FAM72B
chr1	43147903	43156396	+	NM_001101376.3	CFAP144
chr1	51789209	51878727	-	NM_001101662.2	NRDC
chr1	182641817	182684587	-	NM_001102450.3	RGS8
chr1	161258744	161285450	+	NM_001102566.2	PCP4L1
chr1	108648294	108661093	-	NM_001102592.2	HENMT1
chr1	45493865	45500073	-	NM_001102601.3	CCDC163
chr1	236686498	236764631	+	NM_001103.4	ACTN2
chr1	20719730	20732703	-	NM_001103161.2	SH2D5
chr1	12716109	12728760	+	NM_001103170.3	AADACL3
chr1	155320893	155331114	+	NM_001105203.2	RUSC1
chr1	27872543	27886675	+	NM_001105556.3	THEMIS2
chr1	10032957	10181239	+	NM_001105562.3	UBE4B
chr1	74026014	74198176	-	NM_001105659.2	LRRIQ3
chr1	156579722	156587719	+	NM_001105669.4	TTC24
chr1	54806062	54842252	+	NM_001110533.2	CIMAP2
chr1	154582056	154608186	-	NM_001111.5	ADAR
chr1	161037630	161038964	-	NM_001113207.2	TSTD1
chr1	107141038	107484923	+	NM_001113226.3	NTNG1
chr1	37793846	37801133	+	NM_001113482.2	MANEAL
chr1	94820356	94895246	+	NM_001114106.3	SLC44A3
chr1	54779711	54801323	-	NM_001114108.2	TTC22
chr1	68474151	68497082	-	NM_001114120.3	DEPDC1
chr1	16367241	16398145	+	NM_001114600.3	SZRD1
chr1	1534777	1540624	-	NM_001114748.2	TMEM240
chr1	26361633	26372750	-	NM_001114759.3	ZNF683
chr1	45620043	45624054	-	NM_001114938.3	CCDC17
chr1	161166425	161171220	+	NM_001122764.3	PPOX
chr1	173868379	173903547	+	NM_001122770.3	ZBTB37
chr1	20664013	20718007	-	NM_001122819.3	KIF17
chr1	152153594	152159228	-	NM_001122965.1	RPTN
chr1	148482547	148483302	-	NM_001123068.3	PPIAL4G
chr1	206186178	206202839	-	NM_001123168.3	FAM72A
chr1	149813224	149813693	-	NM_001123375.3	H3C13
chr1	244408493	244451909	-	NM_001126.5	ADSS2
chr1	159171614	159203313	+	NM_001127173.3	CADM3
chr1	152842855	152843983	+	NM_001128600.2	LCE6A
chr1	154962297	154970747	-	NM_001130040.2	SHC1
chr1	1173879	1197936	+	NM_001130045.2	TTLL10
chr1	75202128	75611114	-	NM_001130058.2	SLC44A5
chr1	1280435	1292025	+	NM_001130413.4	SCNN1D
chr1	9588910	9614877	+	NM_001130924.3	TMEM201
chr1	244461272	244640504	+	NM_001130957.2	CATSPERE
chr1	89821031	89936611	+	NM_001134479.2	LRRC8D
chr1	84301707	84350798	+	NM_001134663.2	SAMD13
chr1	61082560	61462788	+	NM_001134673.4	NFIA
chr1	34176906	34219131	+	NM_001134734.2	C1orf94
chr1	159927040	159945613	-	NM_001135050.2	IGSF9
chr1	18630845	18748866	+	NM_001135254.2	PAX7
chr1	46557406	46604268	-	NM_001135553.4	MKNK1
chr1	151198551	151249531	+	NM_001135638.2	PIP5K1A
chr1	39560815	39576790	-	NM_001135653.2	PABPC4
chr1	149583847	149584607	+	NM_001135789.5	PPIAL4C
chr1	225810123	225845563	+	NM_001136018.4	EPHX1
chr1	170145958	170168866	+	NM_001136107.2	NTMT2
chr1	15153746	15220478	+	NM_001136218.2	TMEM51
chr1	161505456	161519829	+	NM_001136219.3	FCGR2A
chr1	211259365	211316385	+	NM_001136223.3	RCOR3
chr1	18904279	18956676	-	NM_001136265.2	IFFO2
chr1	51102227	51148086	+	NM_001136508.2	C1orf185
chr1	44808522	44815585	+	NM_001136537.3	BTBD19
chr1	13115487	13116854	-	NM_001136561.3	HNRNPCL2
chr1	182450145	182560597	+	NM_001137669.2	RGSL1
chr1	108970213	109042102	-	NM_001142551.2	WDR47
chr1	200894899	200915742	+	NM_001142569.3	INAVA
chr1	247099961	247104356	-	NM_001142572.2	ZNF669
chr1	113390514	113685923	+	NM_001142782.2	MAGI3
chr1	167916674	167937072	-	NM_001143674.4	MPC2
chr1	120889770	120890530	+	NM_001143883.4	PPIAL4A
chr1	223541615	223665701	-	NM_001143962.2	CAPN8
chr1	108450342	108471920	+	NM_001143988.2	NBPF6
chr1	108222463	108244076	-	NM_001143989.3	NBPF4
chr1	144372874	144373634	-	NM_001144032.3	PPIAL4E
chr1	50108919	50203772	+	NM_001144774.3	ELAVL4
chr1	108712907	108742749	+	NM_001144937.3	FNDC7
chr1	151721521	151729805	+	NM_001144956.3	RIIAD1
chr1	1418419	1421276	-	NM_001145210.3	ANKRD65
chr1	157121190	157138395	-	NM_001145312.3	ETV3
chr1	46671853	46673594	+	NM_001145474.4	TEX38
chr1	44674713	44725591	+	NM_001145636.2	ARMH1
chr1	32465071	32496686	+	NM_001145720.2	ZBTB8B
chr1	149928650	149936879	-	NM_001145862.2	MTMR11
chr1	209938216	210171315	+	NM_001146262.4	SYT14
chr1	12824604	12831410	-	NM_001146344.3	PRAMEF11
chr1	1425870	1430255	+	NM_001146685.2	TMEM88B
chr1	228140278	228148951	+	NM_001159390.2	GUK1
chr1	158560605	158570580	-	NM_001160325.2	OR6P1
chr1	155946853	155978547	-	NM_001162383.2	ARHGEF2
chr1	36306367	36321347	+	NM_001162530.2	SH3D21
chr1	88979455	88992629	-	NM_001162536.3	RBMXL1
chr1	170935533	171064765	+	NM_001163629.2	MROH9
chr1	145241414	145242174	-	NM_001164261.2	PPIAL4D
chr1	144592892	144593652	+	NM_001164262.3	PPIAL4F
chr1	93448117	93554661	+	NM_001164473.3	FNBP1L
chr1	205976739	206003395	-	NM_001164522.3	RAB7B
chr1	201190823	201228952	+	NM_001164586.2	IGFN1
chr1	211476521	211492162	-	NM_001164688.2	RD3
chr1	84643705	84690461	-	NM_001166293.2	SSX2IP
chr1	32361269	32362485	-	NM_001167676.2	FAM229A
chr1	245749346	246507279	-	NM_001167740.2	SMYD3
chr1	1512161	1534685	+	NM_001170535.3	ATAD3A
chr1	206957966	206970460	-	NM_001170631.2	FCAMR
chr1	1615499	1630605	+	NM_001170687.4	MIB2
chr1	10946474	10982076	-	NM_001170754.2	C1orf127
chr1	193059611	193091219	+	NM_001173524.2	RO60
chr1	160485035	160523255	-	NM_001184714.2	SLAMF6
chr1	43450988	43453931	-	NM_001190880.3	HYI
chr1	27342021	27353932	+	NM_001193308.2	SYTL1
chr1	28592264	28595449	+	NM_001193532.3	RAB42
chr1	47760527	47997385	-	NM_001194986.2	TRABD2B
chr1	34981379	34985347	-	NM_001195156.2	TMEM35B
chr1	173635337	173637130	+	NM_001195190.3	TEX50
chr1	197504747	197775480	-	NM_001195215.2	DENND1B
chr1	153217583	153219310	+	NM_001195571.2	PRR9
chr1	6624867	6633562	+	NM_001195753.2	THAP3
chr1	167936682	168075836	+	NM_001198956.2	DCAF6
chr1	52895909	52921740	-	NM_001198961.2	ECHDC2
chr1	24356998	24413782	-	NM_001199013.2	STPG1
chr1	205381377	205422056	-	NM_001199050.2	LEMD1
chr1	179591831	179691272	+	NM_001199085.3	TDRD5
chr1	179839975	179877803	-	NM_001199260.2	TOR1AIP2
chr1	193012253	193059360	-	NM_001199261.3	UCHL5
chr1	6045887	6101180	+	NM_001199862.2	KCNAB2
chr1	145670984	145707368	-	NM_001201325.2	PDZK1
chr1	196888051	196918633	+	NM_001201550.3	CFHR4
chr1	1070966	1074306	-	NM_001205252.2	RNF223
chr1	181483516	181808084	+	NM_001205293.3	CACNA1E
chr1	234373455	234385080	+	NM_001206641.3	COA6
chr1	8945867	8975092	+	NM_001215.4	CA6
chr1	15491400	15524215	-	NM_001229.5	CASP9
chr1	160190574	160201886	+	NM_001231.5	CASQ1
chr1	115700020	115768714	-	NM_001232.4	CASQ2
chr1	23010833	23015852	-	NM_001242521.2	TEX46
chr1	1598011	1600135	-	NM_001242659.2	FNDC10
chr1	2636985	2801693	-	NM_001242672.3	TTC34
chr1	42846612	42852477	+	NM_001242739.2	ZNF691
chr1	37611349	37634892	-	NM_001242908.2	RSPO1
chr1	12063302	12144207	+	NM_001243.5	TNFRSF8
chr1	247416172	247448817	+	NM_001243133.2	NLRP3
chr1	161623195	161631176	-	NM_001244753.2	FCGR3B
chr1	109105950	109112747	-	NM_001245025.3	CFAP276
chr1	200969389	201023714	-	NM_001252102.2	KIF21B
chr1	114089291	114153869	-	NM_001253772.2	SYT6
chr1	113894193	113904799	-	NM_001253852.3	AP4B1
chr1	43358980	43363203	+	NM_001255.3	CDC20
chr1	153967901	153974359	+	NM_001255978.2	CREB3L4
chr1	117001759	117036552	+	NM_001256106.3	CD101
chr1	75134387	75161533	+	NM_001256114.2	LHX8
chr1	114582849	114670049	-	NM_001256404.2	DENND2C
chr1	53946349	53968168	+	NM_001256409.2	LRRC42
chr1	155002801	155018523	+	NM_001256455.2	ZBTB7B
chr1	65309542	65415871	+	NM_001256864.2	DNAJC6
chr1	37692515	37709719	+	NM_001256875.2	CDCA8
chr1	248013659	248024276	+	NM_001258284.2	OR2L5
chr1	230314489	230426332	-	NM_001258311.2	PGBD5
chr1	201113942	201127184	-	NM_001270601.2	ASCL5
chr1	213987972	214041510	+	NM_001270616.2	PROX1
chr1	37489992	37514766	-	NM_001270875.3	MEAF6
chr1	144887287	145095328	-	NM_001271870.5	SRGAP2B
chr1	153959109	153963537	-	NM_001271958.2	SLC39A1
chr1	203178930	203186704	-	NM_001276.4	CHI3L1
chr1	27234631	27308636	+	NM_001276252.2	WDTC1
chr1	201359013	201377680	-	NM_001276345.2	TNNT2
chr1	67092164	67134970	-	NM_001276351.2	C1orf141
chr1	237004102	237004441	-	NM_001276687.2	MT1HL1
chr1	146938323	146996198	+	NM_001278141.3	NBPF12
chr1	200404950	200410036	-	NM_001281293.2	ZNF281
chr1	33513997	34165230	-	NM_001281956.2	CSMD2
chr1	36339627	36385924	-	NM_001282547.2	STK40
chr1	171248493	171285961	+	NM_001282693.2	FMO1
chr1	155749658	155857214	-	NM_001282860.2	GON4L
chr1	86468926	86500259	+	NM_001285.4	CLCA1
chr1	11806190	11843130	+	NM_001286.5	CLCN6
chr1	143955286	143971986	-	NM_001287385.2	FAM72C
chr1	92074532	92075411	-	NM_001287737.2	SETSIP
chr1	201134771	201154474	-	NM_001288565.2	TMEM9
chr1	3772748	3775956	+	NM_001288583.2	SMIM1
chr1	22953042	22972866	-	NM_001289974.2	LACTBL1
chr1	1661477	1692795	-	NM_001290264.2	SLC35E2B
chr1	47216290	47232225	-	NM_001290403.2	TAL1
chr1	241957766	241959062	+	NM_001290693.1	BECN2
chr1	41361433	41383590	+	NM_001291281.3	FOXO6
chr1	13196187	13201409	-	NM_001291380.1	PRAMEF13
chr1	13303538	13308907	+	NM_001291381.1	PRAMEF33
chr1	155262867	155273504	-	NM_001294338.2	CLK2
chr1	247154988	247172020	-	NM_001297568.2	ZNF124
chr1	51287257	51330562	-	NM_001297663.2	TTC39A
chr1	183805119	183928532	+	NM_001297671.3	RGL1
chr1	32936448	32964809	-	NM_001300826.2	RNF19B
chr1	111473983	111478512	+	NM_001300834.2	C1orf162
chr1	13049475	13056575	-	NM_001300891.2	PRAMEF27
chr1	169394869	169427474	-	NM_001300969.2	CCDC181
chr1	212950540	212991585	+	NM_001301056.2	VASH2
chr1	10450030	10451998	+	NM_001302.5	CORT
chr1	146064710	146144804	-	NM_001302371.3	NBPF10
